category,metric,row_type,source,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,total,notes
CIT / Tax,Taxable Income / R35 (Python flag-on),Delta,result.periods[i].taxable_income_before_,1857.6,1906.1,1845.4,1892.5,1885.9,1916.4,1861.8,1907.7,1848.2,1892.3,1897.6,1942.5,1894.9,1922.3,1869.9,1910.8,1853.6,1892.2,1835.6,1871.6,1845.0,1865.6,1815.9,1847.1,1703.9,1747.7,1714.3,1756.7,1719.0,1738.3,1727.6,1756.8,1715.3,1744.4,1702.4,1731.3,1693.8,1712.8,1674.9,1703.3,-57.0,-57.3,-72.5,-73.0,-88.8,-89.4,-105.7,-106.8,-123.5,-124.9,-104.3,-105.4,-124.1,-125.1,-144.5,-146.2,-166.0,-168.2,-188.7,-191.2,74983.5,Python R35 uses flag-on tax bridge; Excel may differ in construction-period trea
CIT / Tax,Taxable Profit After Losses / R41,Excel,result.periods[i].taxable_income_after_l,-1369.7,-1381.4,-1306.1,-1314.9,-1290.1,-1291.1,-1208.8,-1675.9,-1600.2,-1626.3,-1592.9,-1618.9,-1519.6,-1533.9,-1405.7,-1423.5,-1293.7,-1306.5,-1178.1,-1185.8,-1099.5,-1097.7,-955.4,-953.4,2298.7,2475.0,2558.5,2748.4,2902.6,3122.6,3272.9,3529.9,3844.7,4134.3,4408.4,4730.1,5003.8,5058.7,5155.4,5240.8,7037.2,7153.9,7202.3,7321.7,7426.0,7507.6,7552.5,7677.7,7701.5,7829.2,7870.7,8001.1,8037.6,8125.9,8123.2,8257.8,8221.4,8357.7,8264.4,8401.4,184326.3,Excel does not separately surface R41; P&L.taxable_income_keur is closest proxy
CIT / Tax,Taxable Profit After Losses / R41,Python,result.periods[i].taxable_income_after_l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excel does not separately surface R41; P&L.taxable_income_keur is closest proxy
CIT / Tax,Taxable Profit After Losses / R41,Delta,result.periods[i].taxable_income_after_l,1369.7,1381.4,1306.1,1314.9,1290.1,1291.1,1208.8,1675.9,1600.2,1626.3,1592.9,1618.9,1519.6,1533.9,1405.7,1423.5,1293.7,1306.5,1178.1,1185.8,1099.5,1097.7,955.4,953.4,-2298.7,-2475.0,-2558.5,-2748.4,-2902.6,-3122.6,-3272.9,-3529.9,-3844.7,-4134.3,-4408.4,-4730.1,-5003.8,-5058.7,-5155.4,-5240.8,-7037.2,-7153.9,-7202.3,-7321.7,-7426.0,-7507.6,-7552.5,-7677.7,-7701.5,-7829.2,-7870.7,-8001.1,-8037.6,-8125.9,-8123.2,-8257.8,-8221.4,-8357.7,-8264.4,-8401.4,248784.9,Excel does not separately surface R41; P&L.taxable_income_keur is closest proxy
CIT / Tax,CIT Accrual / R43,Excel,result.periods[i].corporate_tax_accrual_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.2,0.0,955.2,0.0,1084.5,0.0,1224.5,0.0,1436.2,0.0,1644.9,0.0,1811.3,0.0,1871.3,0.0,2554.4,0.0,2614.3,0.0,2688.1,0.0,2741.4,0.0,2795.5,0.0,2856.9,0.0,2909.4,0.0,2948.6,0.0,2984.2,0.0,2999.9,38240.9,Python uses flag-on tax bridge accrual; Excel CIT includes construction period
CIT / Tax,CIT Accrual / R43,Python,result.periods[i].corporate_tax_accrual_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Python uses flag-on tax bridge accrual; Excel CIT includes construction period
CIT / Tax,CIT Accrual / R43,Delta,result.periods[i].corporate_tax_accrual_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.2,0.0,-955.2,0.0,-1084.5,0.0,-1224.5,0.0,-1436.2,0.0,-1644.9,0.0,-1811.3,0.0,-1871.3,0.0,-2554.4,0.0,-2614.3,0.0,-2688.1,0.0,-2741.4,0.0,-2795.5,0.0,-2856.9,0.0,-2909.4,0.0,-2948.6,0.0,-2984.2,0.0,-2999.9,38240.9,Python uses flag-on tax bridge accrual; Excel CIT includes construction period
CIT / Tax,Cash Tax / R67,Excel,result.periods[i].r67_excel_style_cash_t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R67 not in Excel fixture; see test_r67_yrs13to30_residual fixture
CIT / Tax,Cash Tax / R67,Python,result.periods[i].r67_excel_style_cash_t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1480.6,0.0,-1580.0,0.0,-1706.8,0.0,-1851.7,0.0,-2058.9,0.0,-2263.0,0.0,-2424.4,0.0,-2479.4,0.0,-2533.8,0.0,-2588.1,0.0,-2656.0,0.0,-2703.2,0.0,-2750.8,0.0,-2819.2,0.0,-2864.6,0.0,-2896.2,0.0,-2924.1,0.0,-2931.5,-43512.4,R67 not in Excel fixture; see test_r67_yrs13to30_residual fixture
CIT / Tax,Cash Tax / R67,Delta,result.periods[i].r67_excel_style_cash_t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1480.6,0.0,-1580.0,0.0,-1706.8,0.0,-1851.7,0.0,-2058.9,0.0,-2263.0,0.0,-2424.4,0.0,-2479.4,0.0,-2533.8,0.0,-2588.1,0.0,-2656.0,0.0,-2703.2,0.0,-2750.8,0.0,-2819.2,0.0,-2864.6,0.0,-2896.2,0.0,-2924.1,0.0,-2931.5,43512.4,R67 not in Excel fixture; see test_r67_yrs13to30_residual fixture
CIT / Tax,R99 FCF for Distribution [AUDIT ONLY],Excel,result.periods[i].r99_fcf_for_distributi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R99 is audit-only / BLOCKED; not a runtime driver
CIT / Tax,R99 FCF for Distribution [AUDIT ONLY],Python,result.periods[i].r99_fcf_for_distributi,1081.1,1099.0,1093.5,1111.6,1109.3,1121.5,1119.5,1138.0,1130.3,1149.1,1152.2,1171.3,1176.5,1189.5,1196.0,1215.8,1220.5,1240.7,1244.1,1264.7,1270.4,1284.4,1291.5,1312.9,2760.6,1325.8,2749.5,1215.0,6187.8,4549.0,6221.8,4473.2,6419.5,4466.9,6570.3,4416.2,6735.9,4385.5,6868.6,4503.1,7018.6,4601.1,7168.2,4698.9,7375.6,4800.7,7485.2,4906.1,7616.4,4991.9,7804.7,5114.9,7951.8,5174.6,8017.1,5253.7,8093.7,5303.8,8114.1,5317.1,229040.5,R99 is audit-only / BLOCKED; not a runtime driver
CIT / Tax,R99 FCF for Distribution [AUDIT ONLY],Delta,result.periods[i].r99_fcf_for_distributi,1081.1,1099.0,1093.5,1111.6,1109.3,1121.5,1119.5,1138.0,1130.3,1149.1,1152.2,1171.3,1176.5,1189.5,1196.0,1215.8,1220.5,1240.7,1244.1,1264.7,1270.4,1284.4,1291.5,1312.9,2760.6,1325.8,2749.5,1215.0,6187.8,4549.0,6221.8,4473.2,6419.5,4466.9,6570.3,4416.2,6735.9,4385.5,6868.6,4503.1,7018.6,4601.1,7168.2,4698.9,7375.6,4800.7,7485.2,4906.1,7616.4,4991.9,7804.7,5114.9,7951.8,5174.6,8017.1,5253.7,8093.7,5303.8,8114.1,5317.1,229040.5,R99 is audit-only / BLOCKED; not a runtime driver
CIT / Tax,R102 FCF for SHL [AUDIT ONLY],Excel,result.periods[i].r102_fcf_for_shl_keur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R102 is audit-only / BLOCKED; not a runtime driver
CIT / Tax,R102 FCF for SHL [AUDIT ONLY],Python,result.periods[i].r102_fcf_for_shl_keur,1081.1,1099.0,1093.5,1111.6,1109.3,1121.5,1119.5,1138.0,1130.3,1149.1,1152.2,1171.3,1176.5,1189.5,1196.0,1215.8,1220.5,1240.7,1244.1,1264.7,1270.4,1284.4,1291.5,1312.9,2760.6,1325.8,2749.5,1215.0,6187.8,4549.0,6221.8,4473.2,6419.5,4466.9,6570.3,4416.2,6735.9,4385.5,6868.6,4503.1,7018.6,4601.1,7168.2,4698.9,7375.6,4800.7,7485.2,4906.1,7616.4,4991.9,7804.7,5114.9,7951.8,5174.6,8017.1,5253.7,8093.7,5303.8,8114.1,5317.1,229040.5,R102 is audit-only / BLOCKED; not a runtime driver
CIT / Tax,R102 FCF for SHL [AUDIT ONLY],Delta,result.periods[i].r102_fcf_for_shl_keur,1081.1,1099.0,1093.5,1111.6,1109.3,1121.5,1119.5,1138.0,1130.3,1149.1,1152.2,1171.3,1176.5,1189.5,1196.0,1215.8,1220.5,1240.7,1244.1,1264.7,1270.4,1284.4,1291.5,1312.9,2760.6,1325.8,2749.5,1215.0,6187.8,4549.0,6221.8,4473.2,6419.5,4466.9,6570.3,4416.2,6735.9,4385.5,6868.6,4503.1,7018.6,4601.1,7168.2,4698.9,7375.6,4800.7,7485.2,4906.1,7616.4,4991.9,7804.7,5114.9,7951.8,5174.6,8017.1,5253.7,8093.7,5303.8,8114.1,5317.1,229040.5,R102 is audit-only / BLOCKED; not a runtime driver
