canonical_field_id,runtime_binding_status,excel_mapping_status,runtime_validation_status,scenario_mapping_status,registry_field_id,snapshot_key,engine_path,registry_excel_hint_tuho,registry_excel_hint_oborovo,verified_tuho_input_cell,verified_oborovo_input_cell,verified_tuho_scenario_cell,verified_tuho_scenario_range,verified_oborovo_scenario_cell,verified_oborovo_scenario_range,test_evidence,test_evidence_scope,adapter_path,adapter_evidence_type,projectinputs_path
registry.revenue.balancing.cost_eur_per_mwh,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,revenue.balancing.cost_eur_per_mwh,rev_balancing_cost_eur_per_mwh,revenue.balancing_cost_eur_per_mwh,,,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.revenue.balancing.co2_enabled,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,revenue.balancing.co2_enabled,rev_co2_enabled,revenue.co2_enabled,,,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.revenue.balancing.co2_price_eur_mwh,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,revenue.balancing.co2_price_eur_mwh,rev_co2_price_eur_mwh,revenue.co2_certificate_price_eur_per_mwh,,CF!row46,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.revenue.merchant.price_curve_json,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,revenue.merchant.price_curve_json,rev_merchant_price_curve_json,revenue.market_prices_by_calendar_year_eur_mwh,,Inputs!row106,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.debt.senior.gearing_pct,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,debt.senior.gearing_pct,gearing_pct,financing.gearing_ratio,Inputs!Debt!B4,Inputs!Debt!B4,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,app/input_adapter.py::_set_financing_gearing,EXACT_SYMBOL,ProjectInputs.financing.gearing_ratio
registry.debt.senior.target_dscr,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,debt.senior.target_dscr,target_dscr,financing.target_dscr,Inputs!Debt!B5,Inputs!Debt!B5,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,app/input_adapter.py::_set_financing_target_dscr,EXACT_SYMBOL,ProjectInputs.financing.target_dscr
registry.debt.senior.interest_rate_pct,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,debt.senior.interest_rate_pct,interest_rate_pct,financing.margin_bps,Inputs!Debt!B6,Inputs!Debt!B6,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,app/input_adapter.py::_set_financing_interest_rate,EXACT_SYMBOL,ProjectInputs.financing.margin_bps
registry.debt.senior.tenor_years,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,debt.senior.tenor_years,tenor_years,financing.senior_tenor_years,Inputs!Debt!B7,Inputs!Debt!B7,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,app/input_adapter.py::_set_financing_tenor,EXACT_SYMBOL,ProjectInputs.financing.senior_tenor_years
registry.tax.assumptions.cit_rate_pct,RUNTIME_FULLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,DISPLAY_ONLY_PROVEN,SOURCE_COORDINATE_UNRESOLVED,tax.assumptions.cit_rate_pct,tax_corporate_rate_pct,tax.corporate_rate,,,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestFSBrowserAcceptance::test_cit_rate_displayed_as_percent,DISPLAY-ONLY,app/input_adapter.py::_set_tax_corporate_rate,EXACT_SYMBOL,ProjectInputs.tax.corporate_rate
registry.tax.assumptions.loss_carryforward_years,RUNTIME_FULLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,tax.assumptions.loss_carryforward_years,tax_loss_carryforward_years,tax.loss_carryforward_years,,,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,app/input_adapter.py::_set_tax_loss_carryforward_years,EXACT_SYMBOL,ProjectInputs.tax.loss_carryforward_years
