canonical_field_id,registry_field_id,registry_label,registry_kind,registry_binding_status,registry_scenario_policy,registry_source_of_truth,registry_engine_path,registry_snapshot_key,registry_excel_hint_tuho,registry_excel_hint_oborovo,save_path,save_evidence_type,save_pipeline,adapter_path,adapter_evidence_type,adapter_detail,projectinputs_path,engine_consumer,engine_consumer_evidence_type,test_evidence,test_evidence_scope,runtime_validation_status,scenario_mapping_status,verified_tuho_input_cell,verified_oborovo_input_cell,verified_tuho_scenario_cell,verified_oborovo_scenario_cell,verified_tuho_scenario_range,verified_oborovo_scenario_range,runtime_binding_status,excel_mapping_status,confidence,notes
registry.capex.F.other_financial,capex.F.other_financial,Other Financial,TEMPLATE_INPUT,TEMPLATE_LOCKED,NOT_ALLOWED,TEMPLATE,capex.other_financial_keur,capex_other_financial_keur,C.17 / Financing!OtherFin,C.17 / Financing!OtherFin,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,TEMPLATE_LOCKED,SOURCE_COORDINATE_UNRESOLVED,CONFIRMED,
registry.capex.F.vat_costs,capex.F.vat_costs,VAT / Recoverable Costs,TEMPLATE_INPUT,TEMPLATE_LOCKED,NOT_ALLOWED,TEMPLATE,capex.vat_costs_keur,capex_vat_costs_keur,C.17 / Financing!VAT,C.17 / Financing!VAT,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,TEMPLATE_LOCKED,SOURCE_COORDINATE_UNRESOLVED,CONFIRMED,
registry.capex.R.reserve_accounts,capex.R.reserve_accounts,Reserve Accounts,DERIVED_DISPLAY,DISPLAY_ONLY,NOT_ALLOWED,ENGINE,capex.reserve_accounts_keur,capex_reserve_accounts_keur,C.18 / Financing!Reserves,C.18 / Financing!Reserves,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,DISPLAY_ONLY,SOURCE_COORDINATE_UNRESOLVED,CONFIRMED,
registry.capex.summary.total,capex.summary.total,Total CAPEX,DERIVED_DISPLAY,PARTIAL,NOT_ALLOWED,DERIVED_UI,,total_capex_keur,,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,DERIVED_ONLY,SOURCE_COORDINATE_UNRESOLVED,CONFIRMED,
registry.opex.lines.technical_management,opex.lines.technical_management,Technical Management,INPUT,BOUND,OVERRIDE,INPUT_SET,opex[technical_management].y1_amount_keur,opex_technical_management_y1_keur,Inputs!OPEX-B.01,Inputs!OPEX-B.01,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/opex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex â†’ app/services/opex_sub_lines_integration.py::apply_user_sub_lines_to_opex,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,,ProjectInputs.opex[technical_management].y1_amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,FIELD-SPECIFIC-E2E,FIELD_SPECIFIC_E2E_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.opex.lines.om_preventive,opex.lines.om_preventive,O&M Preventive & Corrective,INPUT,BOUND,OVERRIDE,INPUT_SET,opex[o_and_m_preventive_and_corrective].y1_amount_keur,opex_o_and_m_preventive_and_corrective_y1_keur,Inputs!OPEX-B.02,Inputs!OPEX-B.02,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/opex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex â†’ app/services/opex_sub_lines_integration.py::apply_user_sub_lines_to_opex,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,,ProjectInputs.opex[o_and_m_preventive_and_corrective].y1_amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.opex.lines.site_maintenance,opex.lines.site_maintenance,Site Maintenance,INPUT,BOUND,OVERRIDE,INPUT_SET,opex[maintain_site].y1_amount_keur,opex_maintain_site_y1_keur,Inputs!OPEX-B.03,Inputs!OPEX-B.03,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/opex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex â†’ app/services/opex_sub_lines_integration.py::apply_user_sub_lines_to_opex,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,,ProjectInputs.opex[maintain_site].y1_amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.opex.lines.cleaning_materials,opex.lines.cleaning_materials,Cleaning & Materials,INPUT,BOUND,OVERRIDE,INPUT_SET,opex[clean_material].y1_amount_keur,opex_clean_material_y1_keur,Inputs!OPEX-B.04,Inputs!OPEX-B.04,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/opex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex â†’ app/services/opex_sub_lines_integration.py::apply_user_sub_lines_to_opex,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,,ProjectInputs.opex[clean_material].y1_amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.opex.lines.security,opex.lines.security,Security,INPUT,BOUND,OVERRIDE,INPUT_SET,opex[security].y1_amount_keur,opex_security_y1_keur,Inputs!OPEX-B.05,Inputs!OPEX-B.05,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/opex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex â†’ app/services/opex_sub_lines_integration.py::apply_user_sub_lines_to_opex,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,,ProjectInputs.opex[security].y1_amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.opex.lines.insurance,opex.lines.insurance,Insurance,INPUT,BOUND,OVERRIDE,INPUT_SET,opex[insurance].y1_amount_keur,opex_insurance_y1_keur,Inputs!OPEX-B.06,Inputs!OPEX-B.06,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/opex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex â†’ app/services/opex_sub_lines_integration.py::apply_user_sub_lines_to_opex,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,,ProjectInputs.opex[insurance].y1_amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.opex.lines.lease_property_tax,opex.lines.lease_property_tax,Lease & Property Tax,INPUT,BOUND,OVERRIDE,INPUT_SET,opex[lease_and_property_tax].y1_amount_keur,opex_lease_and_property_tax_y1_keur,Inputs!OPEX-B.07,Inputs!OPEX-B.07,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/opex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex â†’ app/services/opex_sub_lines_integration.py::apply_user_sub_lines_to_opex,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,,ProjectInputs.opex[lease_and_property_tax].y1_amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.opex.lines.power_expenses,opex.lines.power_expenses,Power Expenses,INPUT,BOUND,OVERRIDE,INPUT_SET,opex[power_expenses].y1_amount_keur,opex_power_expenses_y1_keur,Inputs!OPEX-B.08,Inputs!OPEX-B.08,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/opex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex â†’ app/services/opex_sub_lines_integration.py::apply_user_sub_lines_to_opex,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,,ProjectInputs.opex[power_expenses].y1_amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.opex.lines.audit_accounting_legal,opex.lines.audit_accounting_legal,"Audit, Accounting & Legal",INPUT,BOUND,OVERRIDE,INPUT_SET,opex[audit_and_accounting_and_legal].y1_amount_keur,opex_audit_and_accounting_and_legal_y1_keur,Inputs!OPEX-B.09,Inputs!OPEX-B.09,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/opex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex â†’ app/services/opex_sub_lines_integration.py::apply_user_sub_lines_to_opex,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,,ProjectInputs.opex[audit_and_accounting_and_legal].y1_amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.opex.lines.bank_fees,opex.lines.bank_fees,Bank Fees (OPEX),INPUT,BOUND,OVERRIDE,INPUT_SET,opex[bank_fees_opex].y1_amount_keur,opex_bank_fees_opex_y1_keur,Inputs!OPEX-B.10,Inputs!OPEX-B.10,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/opex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex â†’ app/services/opex_sub_lines_integration.py::apply_user_sub_lines_to_opex,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,,ProjectInputs.opex[bank_fees_opex].y1_amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.opex.lines.environmental_social,opex.lines.environmental_social,Environmental & Social Management,INPUT,BOUND,OVERRIDE,INPUT_SET,opex[environmental_and_social_management].y1_amount_keur,opex_environmental_and_social_management_y1_keur,Inputs!OPEX-B.11,Inputs!OPEX-B.11,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/opex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/opex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex â†’ app/services/opex_sub_lines_integration.py::apply_user_sub_lines_to_opex,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,,ProjectInputs.opex[environmental_and_social_management].y1_amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.opex.lines.contingencies,opex.lines.contingencies,Contingencies (OPEX),DERIVED_DISPLAY,DISPLAY_ONLY,NOT_ALLOWED,DERIVED_UI,,opex_contingencies_y1_keur,Inputs!OPEX-B.13,Inputs!OPEX-B.13,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,DISPLAY_ONLY,SOURCE_COORDINATE_UNRESOLVED,CONFIRMED,
registry.opex.summary.total_y1,opex.summary.total_y1,Total OPEX Y1,DERIVED_DISPLAY,PARTIAL,NOT_ALLOWED,DERIVED_UI,,opex_y1_keur,,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,DERIVED_ONLY,SOURCE_COORDINATE_UNRESOLVED,CONFIRMED,
registry.revenue.ppa.base_tariff,revenue.ppa.base_tariff,Base Tariff,INPUT,BOUND,OVERRIDE,INPUT_SET,revenue.ppa_base_tariff,rev_ppa_base_tariff,Inputs!Revenue!B4,Inputs!Revenue!B4,app/persistence/projects_repository.py::save_project,EXACT_SYMBOL,,app/input_adapter.py::_set_revenue_tariff,EXACT_SYMBOL,,ProjectInputs.revenue.ppa_base_tariff,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION — specific consumer not a single symbol),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.revenue.ppa.index,revenue.ppa.index,PPA Escalation Index,INPUT,BOUND,OVERRIDE,INPUT_SET,revenue.ppa_index,rev_ppa_index,Inputs!Revenue!B5,Inputs!Revenue!B5,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,PROBABLE,
registry.revenue.ppa.term_years,revenue.ppa.term_years,PPA Term,INPUT,BOUND,OVERRIDE,INPUT_SET,revenue.ppa_term_years,rev_ppa_term_years,Inputs!Revenue!B6,Inputs!Revenue!B6,app/persistence/projects_repository.py::save_project,EXACT_SYMBOL,,app/input_adapter.py::_set_revenue_ppa_term,EXACT_SYMBOL,,ProjectInputs.revenue.ppa_term_years,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION — specific consumer not a single symbol),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.revenue.ppa.production_share,revenue.ppa.production_share,Production Share,INPUT,BOUND,OVERRIDE,INPUT_SET,revenue.ppa_production_share,rev_ppa_production_share,,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,PROBABLE,
registry.revenue.ppa.indexation_policy,revenue.ppa.indexation_policy,Escalation Base Year Policy,INPUT,BOUND,OVERRIDE,INPUT_SET,revenue.ppa_indexation_start_policy,rev_ppa_indexation_start_policy,,Inputs!Revenue!B7,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,PROBABLE,
registry.revenue.ppa.indexation_start_date,revenue.ppa.indexation_start_date,Indexation Start Date,INPUT,BOUND,OVERRIDE,INPUT_SET,revenue.ppa_indexation_start_date,rev_ppa_indexation_start_date,,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,PROBABLE,
registry.revenue.ppa.tariff_legacy,revenue.ppa.tariff_legacy,Tariff (legacy key),INPUT,PARTIAL,NOT_ALLOWED,INPUT_SET,,tariff_eur_mwh,,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,PROBABLE,
registry.revenue.ppa.ppa_term_legacy,revenue.ppa.ppa_term_legacy,PPA Term (legacy key),INPUT,PARTIAL,NOT_ALLOWED,INPUT_SET,,ppa_term_years,,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,PROBABLE,
registry.revenue.balancing.merchant_pct,revenue.balancing.merchant_pct,Merchant Balancing (% of spot sales),INPUT,BOUND,OVERRIDE,INPUT_SET,revenue.balancing_cost_pv,rev_merchant_balancing_pct,,Inputs!D114,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,PROBABLE,
registry.revenue.balancing.cost_eur_per_mwh,revenue.balancing.cost_eur_per_mwh,Balancing Cost (EUR/MWh),INPUT,BOUND,OVERRIDE,INPUT_SET,revenue.balancing_cost_eur_per_mwh,rev_balancing_cost_eur_per_mwh,,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,PROBABLE,
registry.revenue.balancing.co2_enabled,revenue.balancing.co2_enabled,CO2 Revenue Enabled,INPUT,BOUND,OVERRIDE,INPUT_SET,revenue.co2_enabled,rev_co2_enabled,,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,PROBABLE,
registry.revenue.balancing.co2_price_eur_mwh,revenue.balancing.co2_price_eur_mwh,CO2 Certificate Price,INPUT,BOUND,OVERRIDE,INPUT_SET,revenue.co2_certificate_price_eur_per_mwh,rev_co2_price_eur_mwh,,CF!row46,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,PROBABLE,
registry.revenue.merchant.price_curve_json,revenue.merchant.price_curve_json,Merchant Price Curve (JSON),INPUT,BOUND,OVERRIDE,INPUT_SET,revenue.market_prices_by_calendar_year_eur_mwh,rev_merchant_price_curve_json,,Inputs!row106,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,PROBABLE,
registry.debt.senior.gearing_pct,debt.senior.gearing_pct,Gearing,INPUT,BOUND,OVERRIDE,INPUT_SET,financing.gearing_ratio,gearing_pct,Inputs!Debt!B4,Inputs!Debt!B4,app/persistence/projects_repository.py::save_project,EXACT_SYMBOL,,app/input_adapter.py::_set_financing_gearing,EXACT_SYMBOL,,ProjectInputs.financing.gearing_ratio,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION — specific consumer not a single symbol),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.debt.senior.target_dscr,debt.senior.target_dscr,Target DSCR,INPUT,BOUND,OVERRIDE,INPUT_SET,financing.target_dscr,target_dscr,Inputs!Debt!B5,Inputs!Debt!B5,app/persistence/projects_repository.py::save_project,EXACT_SYMBOL,,app/input_adapter.py::_set_financing_target_dscr,EXACT_SYMBOL,,ProjectInputs.financing.target_dscr,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION — specific consumer not a single symbol),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.debt.senior.interest_rate_pct,debt.senior.interest_rate_pct,All-in Interest Rate,INPUT,BOUND,OVERRIDE,INPUT_SET,financing.margin_bps,interest_rate_pct,Inputs!Debt!B6,Inputs!Debt!B6,app/persistence/projects_repository.py::save_project,EXACT_SYMBOL,,app/input_adapter.py::_set_financing_interest_rate,EXACT_SYMBOL,,ProjectInputs.financing.margin_bps,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION — specific consumer not a single symbol),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
